Benjamin Watson,16,0,0,0,0,0,538,4,0,0,0,77.80
Steve Smith,16,0,0,0,0,0,587,3,0,0,0,76.70
Vance McDonald,16,0,0,0,0,0,520,4,0,0,0,76.00
Jamison Crowder,16,0,0,0,0,0,594,3,0,0,1,75.40
Markus Wheaton,16,0,0,0,0,0,592,3,0,0,1,75.20
Andrew Hawkins,16,0,0,0,0,0,555,3,0,0,0,73.50
Kenneth Dixon,16,0,0,0,324,1,287,1,0,0,0,73.10
Will Tye,16,0,0,0,0,0,486,4,0,0,0,72.60
Eddie Royal,16,0,0,0,0,0,556,3,0,0,1,71.60
Jace Amaro,16,0,0,0,0,0,529,3,0,0,0,70.90
Jeff Heuerman,16,0,0,0,0,0,469,4,0,0,0,70.90
Jerick McKinnon,16,0,0,0,325,0,321,1,0,0,0,70.60
Eric Ebron,16,0,0,0,0,0,522,3,0,0,0,70.20
Andre Roberts,16,5,0,0,8,0,529,3,0,0,1,69.90
Phillip Dorsett,16,0,0,0,0,0,516,3,0,0,0,69.60
Devontae Booker,16,0,0,0,366,2,146,1,0,0,0,69.20
Kenny Stills,16,0,0,0,0,0,560,2,0,0,0,68.00
Javorius Allen,16,0,0,0,356,2,162,1,0,0,1,67.80
Alfred Blue,16,0,0,0,380,3,116,0,0,0,1,65.60
Jordan Cameron,16,0,0,0,0,0,468,3,0,0,0,64.80
C.J. Prosise,16,0,0,0,200,1,326,1,0,0,0,64.60
Chris Thompson,16,0,0,0,130,1,330,2,0,0,0,64.00
Jarius Wright,16,0,0,0,25,0,494,2,0,0,0,63.90
Leonte Carroo,16,0,0,0,0,0,457,3,0,0,0,63.70
Jordan Howard,16,0,0,0,360,3,84,0,0,0,0,62.40
Jacob Tamme,16,0,0,0,0,0,428,3,0,0,0,60.80
Mike Gillislee,16,0,0,0,390,2,112,0,0,0,1,60.20
Cecil Shorts,16,0,0,0,0,0,442,3,0,0,1,60.20
Tyler Boyd,16,0,0,0,0,0,418,3,0,0,0,59.80
Jermaine Gresham,16,0,0,0,0,0,416,3,0,0,0,59.60
Seth Roberts,16,0,0,0,0,0,470,2,0,0,0,59.00
Danny Amendola,16,0,0,0,0,0,477,2,0,0,1,57.70
Andre Ellington,16,0,0,0,360,1,116,1,0,0,1,57.60
Rashad Greene,16,0,0,0,0,0,394,3,0,0,0,57.40
Brandon Coleman,16,0,0,0,0,0,389,3,0,0,0,56.90
Tevin Coleman,16,0,0,0,459,1,59,0,0,0,1,55.80
Austin Seferian-Jenkins,16,0,0,0,0,0,378,3,0,0,0,55.80
Chris Johnson,16,0,0,0,416,2,41,0,0,0,1,55.70
Davante Adams,16,0,0,0,0,0,480,1,0,0,0,54.00
Chris Hogan,16,0,0,0,0,0,418,2,0,0,0,53.80
Will Fuller,16,0,0,0,0,0,416,2,0,0,0,53.60
Rueben Randle,16,0,0,0,0,0,431,2,0,0,1,53.10
Chris Conley,16,0,0,0,0,0,406,2,0,0,0,52.60
Jerome Simpson,16,0,0,0,0,0,405,2,0,0,0,52.50
Nate Washington,16,0,0,0,0,0,400,2,0,0,0,52.00
Corey Brown,16,0,0,0,0,0,358,3,0,0,1,51.80
Darren McFadden,16,0,0,0,218,1,198,1,0,0,1,51.60
Benny Cunningham,16,5,0,0,124,1,263,1,0,0,0,50.90
Austin Hooper,16,0,0,0,0,0,386,2,0,0,0,50.60
Niles Paul,16,0,0,0,0,0,385,2,0,0,0,50.50
