Brandon McManus,None,K,0/0,0,0,0,0,0,0,0,0,0,117
Zach Ertz,None,TE,0/0,0,0,0,0,0,0,72.3,850.1,5.4,116.7
Travis Kelce,None,TE,0/0,0,0,0,0,0,0,80.8,881.4,5,116.2
Cody Parkey,P,K,0/0,0,0,0,0,0,0,0,0,0,115.7
Mike Nugent,None,K,0/0,0,0,0,0,0,0,0,0,0,115.3
Texans D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,114.2
Connor Barth,None,K,0/0,0,0,0,0,0,0,0,0,0,114.1
Mark Sanchez,None,QB,163.4/277.5,1901.2,9.8,10.5,18.9,76.9,0.7,0,0,0,113.5
Theo Riddick,None,RB,0/0,0,0,0,63.6,257.2,1.9,69,599.7,2.8,113.2
Willie Snead,None,WR,0/0,0,0,0,0,0,0,68.3,869,4.4,112.6
Bills D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,112.6
Vikings D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,112.2
Raiders D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,111.4
Travis Coons,None,K,0/0,0,0,0,0,0,0,0,0,0,111
Phil Dawson,None,K,0/0,0,0,0,0,0,0,0,0,0,110.4
Corey Coleman,P,WR,0/0,0,0,0,3.9,24.8,0.1,66.8,817.6,4.1,109.8
Broncos D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,109.5
Vincent Jackson,None,WR,0/0,0,0,0,0,0,0,51.4,782.3,5.2,109.3
Lions D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,108.8
Bears D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,108.2
Markus Wheaton,P,WR,0/0,0,0,0,0,0,0,58.1,788.8,4.6,107.5
Patriots D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,106.8
Antonio Gates,None,TE,0/0,0,0,0,0,0,0,60.9,704.5,5.8,105.6
Eagles D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,105.1
Steelers D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,104.3
Will Fuller,None,WR,0/0,0,0,0,2.2,13.7,0.1,49.9,759.1,4.3,102.9
Stefon Diggs,None,WR,0/0,0,0,0,4.3,27.3,0.1,61.1,754.1,4,102
Chargers D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,101.6
Ravens D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,101.6
Josh Gordon,SSPD,WR,0/0,0,0,0,0,0,0,50,779.7,3.9,101.4
Pierre Garcon,None,WR,0/0,0,0,0,0,0,0,60.7,720.7,4.7,100.7
Steve Smith Sr.,Q,WR,Q,0/0,0,0,0,0,0,0,55,775.2,3.8,99.6
LeGarrette Blount,None,RB,0/0,0,0,0,175.5,749.4,5.6,4.5,33.2,0.2,111.4
Rams D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,110.8
Andrew Franks,None,K,0/0,0,0,0,0,0,0,0,0,0,110
Colts D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,109.6
Justin Forsett,None,RB,0/0,0,0,0,145.1,659.4,3.5,27.1,183.4,0.7,109.4
Jaguars D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,109.1
Mohamed Sanu,None,WR,0/0,0,0,0,5.8,36.3,0.2,65.3,771.4,4.4,108.3
Bilal Powell,None,RB,0/0,0,0,0,127.6,521.5,2.7,42.7,338,1.3,108
Ryan Succop,None,K,0/0,0,0,0,0,0,0,0,0,0,107
Allen Hurns,None,WR,0/0,0,0,0,0,0,0,55.7,762.8,5.1,105.6
Travis Benjamin,None,WR,0/0,0,0,0,0,0,0,52.4,776.9,4.2,105.2
Julius Thomas,None,TE,0/0,0,0,0,0,0,0,62.7,670.8,6.3,104.8
Giants D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,103.6
Saints D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,102.8
Redskins D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,101.7
DeAngelo Williams,None,RB,0/0,0,0,0,138.3,651.1,3.6,15.6,134.7,0.5,101.6
Falcons D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,101.5
Terrance Williams,None,WR,0/0,0,0,0,0,0,0,43.5,718.3,4.9,101.4
Tyler Eifert,O,TE,0/0,0,0,0,0,0,0,58,661.1,5.6,99.6
Titans D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,99.3
Darren Sproles,None,RB,0/0,0,0,0,71.8,326.5,2.4,48.2,398.8,1.2,97.9
Zach Miller,P,TE,0/0,0,0,0,0,0,0,64.3,698.1,4.7,97.5
Greg Zuerlein,None,K,0/0,0,0,0,0,0,0,0,0,0,97
Martellus Bennett,None,TE,0/0,0,0,0,0,0,0,61.2,603.5,6.1,96.1
Tevin Coleman,None,RB,0/0,0,0,0,123.8,519.4,3.9,23.4,170.6,0.6,93.4
49ers D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,91.5
Clive Walford,P,TE,0/0,0,0,0,0,0,0,50.1,552.4,5.9,90.3
Charles Clay,None,TE,0/0,0,0,0,0,0,0,57.5,614.3,4.4,87.7
Mike Wallace,None,WR,0/0,0,0,0,2,12.5,0.1,46.5,611.2,4.2,87.1
Cowboys D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,86.8
Rishard Matthews,None,WR,0/0,0,0,0,0,0,0,51.5,653.9,3.4,85.8
Jermaine Kearse,None,WR,0/0,0,0,0,0,0,0,36.1,531,4.6,80.8
Jerick McKinnon,None,RB,0/0,0,0,0,77.2,350.3,2.2,36.3,275.2,1,80.1
Robert Woods,None,WR,0/0,0,0,0,2.3,14.2,0.1,47,553.5,3.8,79.4
Jared Cook,None,TE,0/0,0,0,0,0,0,0,41,515.7,4.5,78.4
Jordan Cameron,None,TE,0/0,0,0,0,0,0,0,45.2,545,3.8,77.3
Tyler Boyd,None,WR,0/0,0,0,0,8.7,55,0.2,40.4,494,3.2,76.5
Kyle Rudolph,None,TE,0/0,0,0,0,0,0,0,48.9,511.5,4,75.8
Christine Michael,None,RB,0/0,0,0,0,113.5,477.1,2.7,10.5,78.6,0.4,73.9
Laquon Treadwell,None,WR,0/0,0,0,0,0,0,0,40.8,553.7,2.8,71.9
Jimmy Graham,Q,TE,Q,0/0,0,0,0,0,0,0,48.4,587.2,6.5,97.6
Shane Vereen,None,RB,0/0,0,0,0,60.9,264.7,1.6,50.7,450.5,2.8,97.4
Dolphins D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,97
Kenny Britt,None,WR,0/0,0,0,0,0,0,0,45.7,750.5,3.4,95.3
Phillip Dorsett,None,WR,0/0,0,0,0,7.3,45.8,0.2,45.9,599.8,4.6,93.1
Eric Ebron,Q,TE,Q,0/0,0,0,0,0,0,0,58.8,645.7,4.5,91.2
Kamar Aiken,None,WR,0/0,0,0,0,0,0,0,53.8,668.9,3.9,90.2
Sammie Coates,None,WR,0/0,0,0,0,0,0,0,47.8,616.3,4.3,87.5
Dwayne Allen,None,TE,0/0,0,0,0,0,0,0,49.8,547.2,5.4,86.9
Browns D/ST,None,D/ST,0/0,0,0,0,0,0,0,0,0,0,86.6
Devontae Booker,None,RB,0/0,0,0,0,106.1,439.7,3.5,19.2,151.3,0.5,81.8
James Starks,None,RB,0/0,0,0,0,112.4,478.1,2.4,20.6,160,0.8,80.6
Bruce Ellington,P,WR,0/0,0,0,0,0,0,0,57,597.7,3.1,80.1
Shaun Draughn,P,RB,0/0,0,0,0,83,316.8,1.8,42.4,312.6,1.1,79
Benjamin Watson,None,TE,0/0,0,0,0,0,0,0,49.4,536.7,4.1,77.9
Anquan Boldin,None,WR,0/0,0,0,0,0,0,0,45.2,595.4,2.9,76.5
Jaelen Strong,None,WR,0/0,0,0,0,0,0,0,44.6,529.2,3.9,75.9
Jimmy Garoppolo,None,QB,93.5/151.7,1026.5,7.3,3.7,15.4,62.1,0.5,0,0,0,75
Tajae Sharpe,P,WR,0/0,0,0,0,0,0,0,44.6,559.5,2.7,72.1
Chris Hogan,None,WR,0/0,0,0,0,2,12.1,0.1,41.6,473.1,3.8,71.6
Jay Ajayi,None,RB,0/0,0,0,0,99.7,405.9,3.1,13.3,95.8,0.4,70
Ted Ginn Jr.,None,WR,0/0,0,0,0,4.7,29.7,0.1,31.3,465.8,2.9,69.6
Davante Adams,None,WR,0/0,0,0,0,0,0,0,39.3,451,4,68.9
Chris Thompson,None,RB,0/0,0,0,0,49.1,220.5,1.1,38.9,323.7,1.3,67.8
Javorius Allen,None,RB,0/0,0,0,0,70.6,289.2,2.1,26.7,210.2,0.8,66.4
Seth Roberts,None,WR,0/0,0,0,0,0,0,0,37.3,435.1,3.7,65.2
Josh Doctson,O,WR,0/0,0,0,0,0,0,0,32.5,444.2,3.4,64.6
DeAndre Washington,None,RB,0/0,0,0,0,79.7,318.8,1.5,22.6,188.4,0.9,64.2
Kendall Wright,P,WR,0/0,0,0,0,4.5,28.6,0.1,38.6,477.4,2,63.2
Chris Conley,None,WR,0/0,0,0,0,0,0,0,41,455.5,2.9,62.5
Nelson Agholor,None,WR,0/0,0,0,0,0,0,0,37.3,460.6,2.6,61.8
Chris Johnson,None,RB,0/0,0,0,0,100.4,425.9,2.7,2.1,15.4,0.1,59.6
Charles Johnson,None,WR,0/0,0,0,0,0,0,0,30.4,435.6,2.5,58.4
Will Tye,None,TE,0/0,0,0,0,0,0,0,35.7,364.9,3.6,58.1
Breshad Perriman,O,WR,0/0,0,0,0,0,0,0,28.7,417.2,2.6,57.2
C.J. Prosise,P,RB,0/0,0,0,0,45.4,187.8,1.2,29.3,241,1.2,56.5
Eddie Royal,P,WR,0/0,0,0,0,2.2,13.9,0.1,37.5,401.5,2.3,56.1
Trevor Siemian,None,QB,79.6/141.3,909.8,5,5.8,9.9,40.7,0.4,0,0,0,55.3
Victor Cruz,Q,WR,Q,0/0,0,0,0,0,0,0,29.1,407,2.4,54.8
Larry Donnell,None,TE,0/0,0,0,0,0,0,0,31.1,320.2,3.6,53.1
Jamison Crowder,None,WR,0/0,0,0,0,1.9,12.1,0,51.7,487.6,3.1,69.7
Austin Seferian-Jenkins,None,TE,0/0,0,0,0,0,0,0,37.5,465.5,3.8,69
Jordan Howard,None,RB,0/0,0,0,0,101.1,407.6,3.6,7.9,59,0.2,68
Cole Beasley,None,WR,0/0,0,0,0,0,0,0,50.3,506.1,3,67.7
Terrance West,None,RB,0/0,0,0,0,105.9,431,2.9,8.8,65.7,0.2,65.9
Colin Kaepernick,Q,QB,Q,81.5/142,939.5,4.8,3,24.8,96.8,0.7,0,0,0,65.1
Kenny Stills,None,WR,0/0,0,0,0,0,0,0,34.1,506.4,2.3,64.4
Spencer Ware,None,RB,0/0,0,0,0,80.6,353,4,5.6,41.2,0.1,63.5
Ka'Deem Carey,Q,RB,Q,0/0,0,0,0,91.9,385.7,2.5,11.8,88.4,0.3,63.2
Josh Ferguson,None,RB,0/0,0,0,0,83.8,325.9,1.5,21.7,166.8,0.9,62
Vance McDonald,None,TE,0/0,0,0,0,0,0,0,38,453.9,2.7,61.7
Tim Hightower,None,RB,0/0,0,0,0,82.1,320.8,3.1,10,73.2,0.3,58.7
Jacob Tamme,None,TE,0/0,0,0,0,0,0,0,43,437.9,2.4,58.2
Case Keenum,None,QB,75.6/129.5,834.3,3.4,3.8,29.2,98.4,1.3,0,0,0,58
Quinton Patton,None,WR,0/0,0,0,0,0,0,0,38.5,433.6,2.2,56.6
Alfred Morris,None,RB,0/0,0,0,0,91.7,384.4,2.4,4.1,30.9,0.1,56.3
Paxton Lynch,None,QB,78.1/138.7,902.2,4.7,4.3,11.4,45.1,0.4,0,0,0,55.9
Brandon LaFell,Q,WR,Q,0/0,0,0,0,0,0,0,30.9,405.8,2.4,54.8
Ladarius Green,O,TE,0/0,0,0,0,0,0,0,28.3,363,2.7,53.1
C.J. Spiller,P,RB,0/0,0,0,0,31.3,134.2,0.8,37.1,273.3,1.1,52.9
Marqise Lee,None,WR,0/0,0,0,0,7.2,45.9,0.2,29.2,323.8,2.3,52
Jace Amaro,None,TE,0/0,0,0,0,0,0,0,32.9,333,3,51.3
Albert Wilson,None,WR,0/0,0,0,0,3.8,24,0.2,29.5,366.4,1.8,50.6
Paul Perkins,None,RB,0/0,0,0,0,81.2,342.5,2.1,4.4,33.4,0.2,50.1
Tyrell Williams,P,WR,0/0,0,0,0,0,0,0,25.8,335.2,2.3,47.5
Leonte Carroo,None,WR,0/0,0,0,0,0,0,0,24.8,351.2,1.9,46.1
Benjamin Cunningham,None,RB,0/0,0,0,0,38.3,157.7,1.2,24.3,198.6,0.5,45.6
Wendell Smallwood,P,RB,0/0,0,0,0,58,236.2,1.9,12.5,93.2,0.3,45.3
